age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,income,capital_gain_log,capital_loss_log
39,state-gov,bachelors,13,never-married,adm-clerical,not-in-family,white,male,40,united-states,<=50k,7.684783943522785,0.0
50,self-emp-not-inc,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,13,united-states,<=50k,0.0,0.0
38,private,hs-grad,9,divorced,handlers-cleaners,not-in-family,white,male,40,united-states,<=50k,0.0,0.0
53,private,11th,7,married-civ-spouse,handlers-cleaners,husband,black,male,40,united-states,<=50k,0.0,0.0
28,private,bachelors,13,married-civ-spouse,prof-specialty,wife,black,female,40,cuba,<=50k,0.0,0.0
37,private,masters,14,married-civ-spouse,exec-managerial,wife,white,female,40,united-states,<=50k,0.0,0.0
49,private,9th,5,married-spouse-absent,other-service,not-in-family,black,female,16,jamaica,<=50k,0.0,0.0
52,self-emp-not-inc,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,45,united-states,>50k,0.0,0.0
31,private,masters,14,never-married,prof-specialty,not-in-family,white,female,50,united-states,>50k,9.552865680310473,0.0
42,private,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,40,united-states,>50k,8.552367266423891,0.0
37,private,some-college,10,married-civ-spouse,exec-managerial,husband,black,male,80,united-states,>50k,0.0,0.0
30,state-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,40,india,>50k,0.0,0.0
23,private,bachelors,13,never-married,adm-clerical,own-child,white,female,30,united-states,<=50k,0.0,0.0
32,private,assoc-acdm,12,never-married,sales,not-in-family,black,male,50,united-states,<=50k,0.0,0.0
34,private,7th-8th,4,married-civ-spouse,transport-moving,husband,amer-indian-eskimo,male,45,mexico,<=50k,0.0,0.0
25,self-emp-not-inc,hs-grad,9,never-married,farming-fishing,own-child,white,male,35,united-states,<=50k,0.0,0.0
32,private,hs-grad,9,never-married,machine-op-inspct,unmarried,white,male,40,united-states,<=50k,0.0,0.0
38,private,11th,7,married-civ-spouse,sales,husband,white,male,50,united-states,<=50k,0.0,0.0
43,self-emp-not-inc,masters,14,divorced,exec-managerial,unmarried,white,female,45,united-states,>50k,0.0,0.0
40,private,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,60,united-states,>50k,0.0,0.0
54,private,hs-grad,9,separated,other-service,unmarried,black,female,20,united-states,<=50k,0.0,0.0
35,federal-gov,9th,5,married-civ-spouse,farming-fishing,husband,black,male,40,united-states,<=50k,0.0,0.0
43,private,11th,7,married-civ-spouse,transport-moving,husband,white,male,40,united-states,<=50k,0.0,7.622174594817622
59,private,hs-grad,9,divorced,tech-support,unmarried,white,female,40,united-states,<=50k,0.0,0.0
56,local-gov,bachelors,13,married-civ-spouse,tech-support,husband,white,male,40,united-states,>50k,0.0,0.0
19,private,hs-grad,9,never-married,craft-repair,own-child,white,male,40,united-states,<=50k,0.0,0.0
39,private,hs-grad,9,divorced,exec-managerial,not-in-family,white,male,80,united-states,<=50k,0.0,0.0
49,private,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,40,united-states,<=50k,0.0,0.0
23,local-gov,assoc-acdm,12,never-married,protective-serv,not-in-family,white,male,52,united-states,<=50k,0.0,0.0
20,private,some-college,10,never-married,sales,own-child,black,male,44,united-states,<=50k,0.0,0.0
45,private,bachelors,13,divorced,exec-managerial,own-child,white,male,40,united-states,<=50k,0.0,7.25063551189868
30,federal-gov,some-college,10,married-civ-spouse,adm-clerical,own-child,white,male,40,united-states,<=50k,0.0,0.0
22,state-gov,some-college,10,married-civ-spouse,other-service,husband,black,male,15,united-states,<=50k,0.0,0.0
48,private,11th,7,never-married,machine-op-inspct,unmarried,white,male,40,puerto-rico,<=50k,0.0,0.0
21,private,some-college,10,never-married,machine-op-inspct,own-child,white,male,40,united-states,<=50k,0.0,0.0
19,private,hs-grad,9,married-af-spouse,adm-clerical,wife,white,female,25,united-states,<=50k,0.0,0.0
48,self-emp-not-inc,assoc-acdm,12,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,<=50k,0.0,0.0
31,private,9th,5,married-civ-spouse,machine-op-inspct,husband,white,male,43,united-states,<=50k,0.0,0.0
53,self-emp-not-inc,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,40,united-states,<=50k,0.0,0.0
24,private,bachelors,13,married-civ-spouse,tech-support,husband,white,male,50,united-states,<=50k,0.0,0.0
49,private,hs-grad,9,separated,adm-clerical,unmarried,white,female,40,united-states,<=50k,0.0,0.0
25,private,hs-grad,9,never-married,handlers-cleaners,not-in-family,white,male,35,united-states,<=50k,0.0,0.0
57,federal-gov,bachelors,13,married-civ-spouse,prof-specialty,husband,black,male,40,united-states,>50k,0.0,0.0
53,private,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,38,united-states,<=50k,0.0,0.0
